"Laptop_name","Laptop_url","Laptop_Title","Laptop_Price","Pages_name","Pages_Laptop_1_name","Pages_Laptop_1_url","Pages_Laptop_1_Title","Pages_Laptop_1_Price","Pages_Laptop_2_name","Pages_Laptop_2_url","Pages_Laptop_2_Title","Pages_Laptop_2_Price","Pages_Laptop_3_name","Pages_Laptop_3_url","Pages_Laptop_3_Title","Pages_Laptop_3_Price","Pages_Laptop_4_name","Pages_Laptop_4_url","Pages_Laptop_4_Title","Pages_Laptop_4_Price","Pages_Laptop_5_name","Pages_Laptop_5_url","Pages_Laptop_5_Title","Pages_Laptop_5_Price","Pages_Laptop_6_name","Pages_Laptop_6_url","Pages_Laptop_6_Title","Pages_Laptop_6_Price","Pages_Laptop_7_name","Pages_Laptop_7_url","Pages_Laptop_7_Title","Pages_Laptop_7_Price","Pages_Laptop_8_name","Pages_Laptop_8_url","Pages_Laptop_8_Title","Pages_Laptop_8_Price","Pages_Laptop_9_name","Pages_Laptop_9_url","Pages_Laptop_9_Title","Pages_Laptop_9_Price","Pages_Laptop_10_name","Pages_Laptop_10_url","Pages_Laptop_10_Title","Pages_Laptop_10_Price","Pages_Laptop_11_name","Pages_Laptop_11_url","Pages_Laptop_11_Title","Pages_Laptop_11_Price","Pages_Laptop_12_name","Pages_Laptop_12_url","Pages_Laptop_12_Title","Pages_Laptop_12_Price","Pages_Pages_1_name","Pages_Pages_2_name","Pages_Pages_3_name","Pages_Pages_4_name","Pages_Pages_5_name","Pages_Pages_6_name","Pages_Pages_6_Laptop_1","Pages_Pages_6_Laptop_2","Pages_Pages_6_Laptop_3","Pages_Pages_6_Laptop_4","Pages_Pages_6_Laptop_5","Pages_Pages_6_Laptop_6","Pages_Pages_6_Laptop_7","Pages_Pages_6_Laptop_8","Pages_Pages_6_Laptop_9","Pages_Pages_6_Laptop_10","Pages_Pages_6_Laptop_11","Pages_Pages_6_Laptop_12","Pages_Pages_6_Pages_1","Pages_Pages_6_Pages_2","Pages_Pages_6_Pages_3","Pages_Pages_6_Pages_4","Pages_Pages_6_Pages_5","Pages_Pages_6_Pages_6","Pages_Pages_6_Pages_7","Pages_Pages_7_name"
"ACER","https://www.panafoto.com/laptop-acer-nitro-5-i5-8300hq-8gb-16gb-optane-1tb-15-6-fhd-4gb-gddr5-windows-10-negro","Laptop Acer Nitro 5 15.6 Intel Core i5 Windows 10 8 GB HDD-1 TB 15.6"" - Negro","$929.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACER","https://www.panafoto.com/laptop-acer-aspire-5-amd-qc-a10-9620p-windows-10-ram-8gb-1tb-hdd-15-6","Laptop Acer Aspire 5 AMD A10 Windows 10 8 GB HDD-1 TB 15.6"" - Negro","$629.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASUS","https://www.panafoto.com/n4020-500gb-4gb-win-10-value-uma-145115-6790","Asus | N4020 | Intel Celeron N4000 | 500GB | 4GB Ram | Windows 10 Home | Gris","$309.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APPLE","https://www.panafoto.com/macbook-air-retina-13-3-procesador-m1-8-core-cpu-8gb-ram-512gb-ssd-bluetooth-5-0-wifi-ac-silver-esp-144823-2727","APPLE | Macbook Air Retina 13.3¨| Procesador APPLE M1 | 8GB RAM | 512GB SSD | Bluetooth 5.0 | Wi-fi | AC | Plata | ESP","$1,599.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DELL","https://www.panafoto.com/inspiron-15-3501-15-6-hd-non-touch-11th-gen-intel-core-i5-tgl-u-8gb-ddr4-256gb-win-10-home-145042-4595","Dell Inspiron | Laptop 3501| Intel Core i5-1135G7 2.40GHz | 8GB Ram | 256GB SSD | 15.6"" HD | Windows 10 Home 64-bit | Plata","$689.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DELL","https://www.panafoto.com/g5-15-5505-15-6-fhd-amd-ryzen-5-4600h-8gb-ddr4-win-10-home-145041-2740","Dell Laptop Gamer G5 15 5505 | AMD Ryzen 5 4600H 3GHz | 8GB Ram | 512GB SSD | AMD Radeon RX 5600M | 15.6"" Full HD | Windows 10 Home 64-bit | Negro/Plata","$1,239.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DELL","https://www.panafoto.com/g3-15-3500-15-6-fhd-10th-gen-intel-core-i5-10300h-8gb-ddr4-256gb-ssd-win-10-home-145030-3632","Dell Laptop G3 15 3500 | Intel Core i5-10300H | 8 GB RAM | 256GB SSD | Tarjeta gráfica Nvidia GTX 1650 4GB | 15.6"" FHD 120HZ | Windows 10 Home | Negro","$949.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DELL","https://www.panafoto.com/inspiron-15-3501-15-6-inch-hd-1366-x-768-10th-gen-intel-core-i3-1005g1-4gb-ddr4-1tb-intel-uhd-graphics-620-no-odd-windows-10-home-144138-5714","Dell Inspiron 15 3501| Intel Core i3 1005G1 10th Gen |4GB Ram DDR4 | 1TB |Intel UHD Graphics 620 NO ODD|15.6¨inch HD 1366 x 768 | Windows 10 Home | Plata","$519.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP","https://www.panafoto.com/162c1la-abm-labtop-amd-ryzen-3-3250u-velocidad-base-de-2-6-ghz-hasta-3-4-gb-de-sdram-ddr4-24005-144998-8333","HP Laptop 15-gw0017la (162C1LA) | AMD Ryzen 3 3250U DC | 4GB RAM | 256GB SSD PCIe |AMD Radeon™ | PANTALLA 15.6¨ | Windows 10 Home | Plata","$429.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP","https://www.panafoto.com/hp-probook-440g7-i5-10210u-8gb-ssd-512gb-14-w10p-145071-5004","HP ProBook 440 G7 (9DJ26LT) | Intel Core i5-10210U | 8GB Ram | SSD 512GB | 14¨ | Windows 10 Pro | Plata","$879.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
