Marca,Title,Text_url, Price 
Frigidaire,Frigidaire Gas Washer/Dryer High Efficiency Laundry Center,https://www.techandhouse.com/sflg3911rw.html," $1,375.00 "
Whirlpool,Frontal Load Washer 20 kg,https://www.techandhouse.com/sflg3911rw.html," $1,499.99 "
LG,7.4 cu. ft. Ultra Large Capacity Dryer,https://www.techandhouse.com/7mwfw90hefc.html, $999.99 
Frigidaire,6.7 Cu. Ft. Free Standing Gas Dryer,https://www.techandhouse.com/7mwfw90hefc.html, $899.99 
Electrolux,Secadora a Gas de 8.0 pies³,https://www.techandhouse.com/dlg3171w.html," $2,699.99 "
Whirlpool,3.5 cu.ft Electric Stacked Laundry Center 9 Wash cycles and AutoDry™,https://www.techandhouse.com/dlg3171w.html, $969.99 
General Electric,5.8 Cu. Ft. Gas Dryer,https://www.techandhouse.com/ffrg4120sw.html," $1,299.99 "
Frigidaire,Secadora a Gas de 7.0 pies³,https://www.techandhouse.com/ffrg4120sw.html, $599.99 
ARC,18 Liters Electric Heater,https://www.techandhouse.com/ewmgd70jss.html," $1,399.00 "
Frigidaire,Kit de Instalación - Lavadora,https://www.techandhouse.com/ewmgd70jss.html, $319.99 
Whirlpool,"7.4 cu.ft Front Load Gas Dryer with Advanced Moisture Sensing, Steam Refresh",https://www.techandhouse.com/wet4027hw.html, $35.00 
Samsung,Secadora de 18 kilos (kg) ,https://www.techandhouse.com/wet4027hw.html, $819.99 
Frigidaire, Gas ,https://www.techandhouse.com/sgl1545psws.html," $1,089.00 "
Frigidaire, Gris,https://www.techandhouse.com/sgl1545psws.html," $1,299.99 "
Whirlpool,Secadora a Gas de 7.0 pies³,https://www.techandhouse.com/fasg7073lr.html," $1,799.99 "
Whirlpool,Frigidaire Gas Washer/Dryer High Efficiency Laundry Center,https://www.techandhouse.com/fasg7073lr.html," $1,299.99 "
Frigidaire,27 Inch 4.2 cu. ft. Front Load Washer,https://www.techandhouse.com/4571.html," $1,499.99 "
Electrolux,Dryer Front Load - 20 kg. - A Gas,https://www.techandhouse.com/4571.html, $749.99 
Frigidaire,6.7 Cu. Ft. Free Standing Electric Dryer,https://www.techandhouse.com/kit-de-lavadora.html," $1,999.99 "
Whirlpool,Secadora Eléctrica de 8.0 pies³,https://www.techandhouse.com/kit-de-lavadora.html, $120.00 
ARC,Elección inteligente de carga frontal lavadero Kit de apilado,https://www.techandhouse.com/wgd90hefc.html," $1,299.99 "
Whirlpool,Electric Stacked Laundry Center 8 Wash cycles and AutoDry,https://www.techandhouse.com/wgd90hefc.html, $199.99 
LG,13 Liters Gas Water Heater,https://www.techandhouse.com/dv18h5200gp-ap.html, $499.99 
ARC,Top Loading Washer with Whirlpool Excel Shaker,https://www.techandhouse.com/dv18h5200gp-ap.html," $1,999.99 "
General Electric,Mega Capacity High Efficiency Electric Dryer,https://www.techandhouse.com/faqg7077ka.html, $209.99 
Frigidaire,16 Liters Gas Water Heater,https://www.techandhouse.com/faqg7077ka.html, $599.99 
Whirlpool,Lavadora Carga Superior de 3.5 pies³,https://www.techandhouse.com/fflg4033qt.html, $549.99 
Electrolux,Deshumidificador Frigidaire ,https://www.techandhouse.com/fflg4033qt.html, $949.99 
Frigidaire, 95 pintas,https://www.techandhouse.com/wfw87hedc.html," $2,199.99 "
Electrolux,Secadora a Gas de 7.6 pies³,https://www.techandhouse.com/wfw87hedc.html," $1,599.00 "
Thermax,Front Load Perfect Steam™ Electric Dryer with Instant Refresh and 8 cycles - 8.0 Cu. Ft.,https://www.techandhouse.com/7mwgd90hefc.html," $2,299.99 "
Frigidaire,Frigidaire Electric Washer/Dryer Laundry Center - 3.9 Cu. Ft Washer and 5.5 Cu. Ft. Dryer,https://www.techandhouse.com/7mwgd90hefc.html, $189.99 
Frigidaire,Front Load Perfect Steam™ Electric Dryer with Instant Refresh and 9 cycles - 8.0 Cu. Ft.,https://www.techandhouse.com/ffre4120sw.html," $1,399.99 "
Whirlpool,14 L/min Gas Water Heater,https://www.techandhouse.com/ffre4120sw.html, $899.99 
LG,Centro de Lavado Eléctrico,https://www.techandhouse.com/ewmed70jiw.html, $949.99 
Frigidaire,4.1 Cu. Ft. High Efficiency Top Load Washer,https://www.techandhouse.com/ewmed70jiw.html," $1,199.99 "
Thermax,Lavadora Carga Superior 4 pies³,https://www.techandhouse.com/stackit4x.html," $1,575.00 "
Frigidaire,"Smart Diagnosis, Sensor Gas Dryer 16kg / 35lbs",https://www.techandhouse.com/stackit4x.html, $289.00 
Electrolux,Frigidaire Electric Washer/Dryer High Efficiency Laundry Center,https://www.techandhouse.com/wet4027hsw.html," $1,599.00 "
